job_name,population,label,job_start_time,n_tasks,n_distinct_task_names,sum_inst_num,mean_plan_cpu,max_plan_cpu,mean_plan_mem,max_plan_mem,mean_plan_gpu,max_plan_gpu,n_distinct_gpu_types,n_instances,n_distinct_machines,mean_instance_start_time,predicted_label,risk_score,calibrated_risk,uncertainty,correct,primary_failure_category,secondary_tags,decision_time_availability
4b52cc8265b9b527ff456892,fold_3,0,5668729,1,1,1,600,600,29.296875,29.296875,5,5,1,1,1,5668734,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
e2ca2eda9ffdd9fadd42a55f,fold_3,0,5668729,1,1,1,600,600,29.296875,29.296875,5,5,1,1,1,5668735,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
9159e312d2b0f4038671048f,fold_3,0,5668730,1,1,1,600,600,29.296875,29.296875,5,5,1,1,1,5668735,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
1d58f7e0322c9636ec9c3d25,fold_3,0,5668731,1,1,1,600,600,29.296875,29.296875,5,5,1,1,1,5668743,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
6a92af3ae5d632d4e090cff3,fold_3,0,5669307,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5669309,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
4de9ad8aa2bfc98fba64d2df,fold_3,0,5669359,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5669366,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
c7ceab7748d99d8a34fa3e72,fold_3,0,5669909,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5669912,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
a7b8696fd11e17307f25e6eb,fold_3,0,5670508,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5670511,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
0c259f2300044a2491a247aa,fold_3,0,5670803,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5670811,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
ef25e639f150c4271447e49c,fold_3,0,5670809,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5670812,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
e4739f29c97ffc862b88c161,fold_3,1,5671410,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5671451,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
9a82a81e600a2662c92e808d,fold_3,0,5671920,2,2,13,400,600,2,2,25,25,1,13,4,5671925.538461538,0,0.092592592592592587,0.092592592592592587,0.18518518518518512,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
18583a0f290cfd73957bdf0d,fold_3,0,5671958,2,2,3,600,600,29.296875,29.296875,25,25,1,3,2,5671964,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
e894d1a495b09a917db6edf9,fold_3,1,5673409,2,2,9,350,600,29.296875,29.296875,100,100,1,88,88,5673529.9397590365,1,1,1,0,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
387014b968ef449417ea9cda,fold_3,0,5674069,1,1,1,600,600,29.296875,29.296875,10,10,1,1,1,5674081,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
cc91db2f8eb2e885d8f9f930,fold_3,1,5674389,1,1,1,100,100,29.296875,29.296875,25,25,1,1,1,5674392,1,0.79462102689486558,0.79462102689486558,0.41075794621026884,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
d19ba7dfdbbde93200d2f174,fold_3,0,5674408,1,1,20,600,600,29.296875,29.296875,25,25,1,20,7,5674411.0999999996,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
e0901dea9b9e0d3879be02cb,fold_3,0,5674463,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,5674466,0,0.15491651205936921,0.15491651205936921,0.30983302411873836,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
