job_name,population,label,job_start_time,n_tasks,n_distinct_task_names,sum_inst_num,mean_plan_cpu,max_plan_cpu,mean_plan_mem,max_plan_mem,mean_plan_gpu,max_plan_gpu,n_distinct_gpu_types,n_instances,n_distinct_machines,mean_instance_start_time,predicted_label,risk_score,calibrated_risk,uncertainty,correct,primary_failure_category,secondary_tags,decision_time_availability
950d6be5703c4df5fb54c7e4,fold_2,1,4789772,1,1,1,600,600,29.296875,29.296875,100,100,1,3,3,4790228,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
fef401ec52c01650f06426f1,fold_2,0,4790023,3,3,12,466.66666666666669,600,13.265625,29.296875,25,25,1,13,6,4790106.333333333,0,0.11956521739130435,0.11956521739130435,0.23913043478260865,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
1db94bc05bf839d192be4dda,fold_2,1,4790498,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4790506,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
cbc8c36a9a5f1a44fb367550,fold_2,1,4790797,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4790811,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
3fa1db9cd4ad4c82c0921cfe,fold_2,0,4790844,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4790850,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
88adf5817d9b798093beaab6,fold_2,1,4790871,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4790945,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
ff490fa218f0718053fc8623,fold_2,1,4791382,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4791476,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
5f237ec62dbfd066eb60f3eb,fold_2,1,4791425,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4791522,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
840da3f15bca00897a662a73,fold_2,1,4791515,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4791610,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
b33b8c89a687fea6d1e3e918,fold_2,1,4791743,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4791876,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
b19366ef918cd9b02d3154df,fold_2,0,4792066,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4792073,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
7b0b9720ed3c43774656d624,fold_2,1,4792167,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4792174,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
88e0dc0393db6942cfa489dc,fold_2,1,4792234,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4792335,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
6832a3cff673efd7f38df3da,fold_2,0,4792248,2,2,2,600,600,29.296875,29.296875,25,25,1,2,2,4792253.5,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
70b17c3672d59cc7060e27c7,fold_2,1,4792351,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4792450,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
34880b00a475c195ecbcdc50,fold_2,1,4792441,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4792536,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
9ed277ee0834ebbe42e8e1fb,fold_2,0,4792609,1,1,1,1600,1600,29.296875,29.296875,100,100,1,1,1,4792637,0,0.11956521739130435,0.11956521739130435,0.23913043478260865,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
fc2346f89c513c6618e789df,fold_2,1,4793035,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4793126,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
2d02016c0e66cc0876047947,fold_2,1,4793113,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4793208,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
d53991c2253e41d0e30488cc,fold_2,1,4793181,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4793292,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
2c4c49f3647e9b2f25aa6a9a,fold_2,0,4793258,1,1,1,600,600,29.296875,29.296875,25,25,1,1,1,4793271,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
62526b5c118ac788cf86f8ee,fold_2,1,4794154,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4794173,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
4f03287220a3b7fb691094a0,fold_2,1,4794574,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4794618,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
e74e40953402f8abb318fcb1,fold_2,1,4794831,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4794879,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
76aea673d1dfccb138efad19,fold_2,0,4795426,1,1,1,20,20,29.296875,29.296875,10,10,1,1,1,4795437,0,0.30303030303030304,0.30303030303030304,0.60606060606060608,True,correct,correct;low_confidence;temporal_regime,DECISION-TIME
0520e86a83464e1157e10f56,fold_2,1,4795682,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4795779,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
9561bdf723edbe9d046f47d0,fold_2,0,4795825,1,1,1,600,600,29.296875,29.296875,100,100,1,1,1,4795838,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
e0de6423d186e6d63462a1e1,fold_2,1,4796160,1,1,1,600,600,29.296875,29.296875,100,100,1,2,2,4796410,0,0.21045576407506703,0.21045576407506703,0.42091152815013411,False,high_confidence_error,false_negative;high_confidence;temporal_regime,DECISION-TIME
a4343b95a8dda807e49e306b,fold_2,0,4796657,2,2,47,500,600,10.7421875,11.71875,50,50,1,47,39,4796873.6382978726,0,0.11956521739130435,0.11956521739130435,0.23913043478260865,True,correct,correct;high_confidence;temporal_regime,DECISION-TIME
